instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
QPLIB_5935.lp,max,2588.0,2588.0,tie,0,0,10.693102,10.071302
QPLIB_5944.lp,max,1134.0,1134.0,tie,0,0,10.58021,10.516173
QPLIB_5962.lp,max,2756.0,2756.0,tie,0,0,12.310943,12.804779
QPLIB_5971.lp,max,1036.0,1036.0,tie,0,0,13.46262,14.909529
QPLIB_5980.lp,max,589.0,589.0,tie,0,0,15.232302,14.736428
QPLIB_6324.lp,min,2641.0,2641.0,tie,0,0,13.530662,14.126621
QPLIB_6487.lp,min,345016.0,345016.0,tie,0,0,12.600207,13.644216
QPLIB_6597.lp,min,6826173.0,6826173.0,tie,0,0,19.228657,21.719428
QPLIB_6647.lp,min,2.0,2.0,tie,0,0,10.447115,11.420307
QPLIB_6757.lp,min,184.0,175.0,new loss,0,0,12.016419,18.447831
QPLIB_6764.lp,min,221.0,225.0,new win,0,0,18.500476,10.619815
QPLIB_6799.lp,min,165.0,165.0,tie,0,0,18.282936,18.875532
QPLIB_6941.lp,min,214.0,214.0,tie,0,0,18.631,20.080745
QPLIB_7127.lp,min,0.0,0.0,tie,0,0,12.336028,10.491557
QPLIB_7139.lp,min,621.0,621.0,tie,0,0,10.095265,10.075631
QPLIB_7144.lp,min,822.0,822.0,tie,0,0,10.191187,10.088414
QPLIB_7149.lp,min,974.0,977.0,new win,0,0,10.194521,10.239704
QPLIB_7154.lp,min,1175.0,1175.0,tie,0,0,10.173424,10.1803
QPLIB_7159.lp,min,1394.0,1394.0,tie,0,0,10.302821,10.365143
QPLIB_7164.lp,min,1625.0,1625.0,tie,0,0,10.471205,10.546275
QPLIB_9030.lp,min,526240.0,526240.0,tie,0,0,17.931446,18.031963
QPLIB_9048.lp,min,-1.165682,-1.165682,tie,0,0,10.761537,11.334664
st_miqp1.lp,min,281.0,281.0,tie,0,0,10.00984,10.010182
st_miqp2.lp,min,2.0,2.0,tie,0,0,10.009926,10.008833
st_miqp3.lp,min,-6.0,-6.0,tie,0,0,10.010242,10.007949
st_test1.lp,min,0.0,0.0,tie,0,0,10.010598,10.010067
st_test2.lp,min,-9.25,-9.25,tie,0,0,10.012013,10.009056
st_test3.lp,min,-7.0,-7.0,tie,0,0,10.021817,10.0154
st_test4.lp,min,-7.0,-7.0,tie,0,0,10.024443,10.011772
st_test5.lp,min,-110.0,-110.0,tie,0,0,10.060415,10.035139
st_test6.lp,min,471.0,471.0,tie,0,0,10.012583,10.026236
st_test8.lp,min,-29605.0,-29605.0,tie,0,0,10.025829,10.021858
st_testgr1.lp,min,-12.38955,-12.38955,tie,0,0,10.014628,10.012362
st_testgr3.lp,min,-19.4915,-19.4915,tie,0,0,10.037513,10.047696
st_testph4.lp,min,-80.5,-80.5,tie,0,0,10.027011,10.01318
