cutoff,instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
10,QPLIB_3850.lp,max,1188.0,1186.0,new win,0,0,10.101447,10.21347
10,QPLIB_3852.lp,max,234.0,234.0,tie,0,0,10.020642,10.017725
10,QPLIB_3860.lp,min,-20161.0,-20161.0,tie,0,0,10.675378,10.284737
10,QPLIB_3865.lp,min,6553485.0,6553485.0,tie,0,0,12.733372,12.466764
10,QPLIB_3877.lp,max,600.0,600.0,tie,0,0,10.098,10.110689
10,QPLIB_3883.lp,min,-765.0,-765.0,tie,0,0,10.049242,10.060293
10,QPLIB_3913.lp,min,44.6,44.6,tie,0,0,12.788832,12.549014
10,QPLIB_3923.lp,min,91.325,91.325,tie,0,0,10.180785,10.187626
10,QPLIB_3931.lp,min,113.3365,113.3365,tie,0,0,10.110312,10.053977
10,QPLIB_3980.lp,min,11.45,11.45,tie,0,0,10.887797,10.934913
10,QPLIB_5721.lp,max,7930221.0,7875631.0,new win,0,0,10.917643,13.414167
10,QPLIB_5725.lp,max,33065571.0,33062219.0,new win,0,0,10.119392,10.059717
10,QPLIB_5755.lp,max,23749203.0,23692136.0,new win,0,0,10.072856,10.104047
10,QPLIB_5875.lp,max,43757.0,43757.0,tie,0,0,10.184366,11.589967
10,QPLIB_5881.lp,max,13067.0,13067.0,tie,0,0,10.184549,10.320034
10,QPLIB_5882.lp,max,25388.0,25388.0,tie,0,0,11.030775,10.455077
10,QPLIB_5909.lp,max,35726.0,35726.0,tie,0,0,10.048874,10.086916
10,QPLIB_5922.lp,max,128339.0,128279.0,new win,0,0,11.125053,11.298006
10,QPLIB_5935.lp,max,2588.0,2588.0,tie,0,0,10.693102,10.071302
10,QPLIB_5944.lp,max,1134.0,1134.0,tie,0,0,10.58021,10.516173
10,QPLIB_5962.lp,max,2756.0,2756.0,tie,0,0,12.310943,12.804779
10,QPLIB_5971.lp,max,1036.0,1036.0,tie,0,0,13.46262,14.909529
10,QPLIB_5980.lp,max,589.0,589.0,tie,0,0,15.232302,14.736428
10,QPLIB_6324.lp,min,2641.0,2641.0,tie,0,0,13.530662,14.126621
10,QPLIB_6487.lp,min,345016.0,345016.0,tie,0,0,12.600207,13.644216
10,QPLIB_6597.lp,min,6826173.0,6826173.0,tie,0,0,19.228657,21.719428
