instance,family,is_chimera,is_qubo_cache_active,sense,baseline_status,mode15_status,mode16_status,baseline_obj,mode15_obj,mode16_obj,mode16_vs_baseline,mode16_vs_mode15,pair_attempt,pair_checked,pair_executed,pair_improved_best,pair_best_seen,pair_time_spent,cache_mismatch16,mode15_cache_mismatch
QPLIB_10071.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10072.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10073.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10074.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_1976.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-9594.0,-9594.0,-9594.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2017.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-22984.0,-22984.0,-22984.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2022.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-22603.5,-22603.5,-22603.5,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2029.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-34576.0,-34704.0,-34576.0,tie,loss,0,0,0,0,0.0,0.0,0,0
QPLIB_2036.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-30660.0,-30660.0,-30660.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2047.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,1182604.5,1182604.5,1182604.5,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2055.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,3389110.0,3389110.0,3389110.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2060.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,2603368.0,2603368.0,2603368.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2067.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,3418550.0,3418550.0,3418550.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2073.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,7677910.0,7677910.0,7677910.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2077.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,2388577.5,2388577.5,2388577.5,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2085.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,7248640.0,7248640.0,7248640.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2087.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,3312579.0,3312579.0,3312579.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2096.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,7122976.0,7122976.0,7122976.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2315.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-29352.0,-29352.0,-29352.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2357.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-647.0,-647.0,-647.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2359.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-638.0,-638.0,-638.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2492.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,2742.0,2742.0,2742.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2512.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,135028.0,135028.0,135028.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2733.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,5446.0,5446.0,5446.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2880.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,1204498.0,1204498.0,1204498.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_2957.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,3666.0,3666.0,3666.0,tie,tie,0,0,0,0,0.0,0.0,0,0
