instance,cutoff,tabu,seed,baseline_feasible,block_feasible,baseline_obj,block_obj,outcome,relative_gap
chimera_mgw-c16-2031-02.lp,10,1,10,1,1,1957.0,1957.0,tie,0.0
ball_mk3_30.lp,10,1,8,0,1,,-6.0,win,0
graphpart_2g-0044-1601.lp,10,0,9,1,1,-919798.0,-919798.0,tie,0.0
chimera_lga-02.lp,10,0,8,1,1,121.5,121.5,tie,0.0
chimera_rfr-01.lp,10,1,8,1,1,1156.3,1155.9,loss,-0.0003459309867680218
chimera_mgw-c8-507-onc8-01.lp,10,0,10,1,1,493.0,493.0,tie,0.0
chimera_selby-c16-02.lp,10,0,9,1,1,697.9,697.9,tie,0.0
chimera_mgw-c8-439-onc8-002.lp,10,1,11,1,1,395.0,395.0,tie,0.0
graphpart_2g-0055-0062.lp,10,1,11,1,1,-1218526.0,-1218526.0,tie,0.0
ball_mk4_15.lp,10,0,10,0,1,,-2827.0,win,0
chimera_mgw-c8-507-onc8-02.lp,10,1,12,1,1,492.0,492.0,tie,0.0
chimera_mgw-c8-439-onc8-001.lp,10,0,10,1,1,403.0,403.0,tie,0.0
chimera_mgw-c8-507-onc8-01.lp,10,0,9,1,1,493.0,493.0,tie,0.0
chimera_rfr-02.lp,10,0,9,1,1,1123.9,1123.9,tie,0.0
graphpart_2g-0044-1601.lp,10,1,10,1,1,-919798.0,-919798.0,tie,0.0
chimera_lga-01.lp,10,0,10,1,1,123.5,123.5,tie,0.0
graphpart_2g-0044-1601.lp,10,0,12,1,1,-919798.0,-919798.0,tie,0.0
chimera_k64maxcut-02.lp,10,0,8,1,1,10.6,10.4,loss,-0.01886792452830182
chimera_selby-c8-onc8-01.lp,10,0,9,1,1,175.6,175.6,tie,0.0
chimera_mgw-c8-439-onc8-002.lp,10,0,9,1,1,395.0,395.0,tie,0.0
graphpart_2g-0055-0062.lp,10,0,11,1,1,-1191893.0,-1191893.0,tie,0.0
chimera_mgw-c16-2031-01.lp,10,1,11,1,1,1948.0,1948.0,tie,0.0
chimera_rfr-01.lp,10,1,11,1,1,1164.7,1164.7,tie,0.0
chimera_selby-c8-onc8-01.lp,10,0,10,1,1,176.8,176.8,tie,0.0
chimera_k64maxcut-02.lp,10,1,8,1,1,10.4,10.4,tie,0.0
ball_mk4_10.lp,10,0,9,0,1,,-3100.0,win,0
chimera_mgw-c8-507-onc8-02.lp,10,1,11,1,1,494.0,494.0,tie,0.0
ball_mk4_15.lp,10,0,12,0,1,,-727.0,win,0
ball_mk4_10.lp,10,1,10,0,1,,-916.0,win,0
chimera_mgw-c8-439-onc8-001.lp,10,1,10,1,1,403.0,403.0,tie,0.0
ball_mk3_30.lp,10,1,9,0,1,,-3.0,win,0
ball_mk3_30.lp,10,1,12,0,1,,-2.0,win,0
chimera_mgw-c8-507-onc8-01.lp,10,1,10,1,1,493.0,493.0,tie,0.0
chimera_mgw-c16-2031-02.lp,10,1,11,1,1,1968.0,1968.0,tie,0.0
graphpart_2g-0044-1601.lp,10,0,11,1,1,-919798.0,-919798.0,tie,0.0
graphpart_2g-0055-0062.lp,10,1,10,1,1,-1116960.0,-1116960.0,tie,0.0
ball_mk2_10.lp,10,0,8,1,1,0.0,0.0,tie,0
chimera_selby-c8-onc8-02.lp,10,1,10,1,1,167.5,167.5,tie,0.0
ball_mk2_30.lp,10,0,12,1,1,0.0,0.0,tie,0
ball_mk4_05.lp,10,0,12,0,1,,-110.0,win,0
chimera_mgw-c8-507-onc8-01.lp,10,0,11,1,1,493.0,493.0,tie,0.0
graphpart_2g-0044-1601.lp,10,1,9,1,1,-919798.0,-919798.0,tie,0.0
ball_mk4_10.lp,10,1,11,0,1,,-35.0,win,0
ball_mk4_15.lp,10,1,12,0,1,,-55.0,win,0
ball_mk2_30.lp,10,0,8,1,1,0.0,0.0,tie,0
ball_mk2_10.lp,10,1,10,1,1,0.0,0.0,tie,0
ball_mk3_20.lp,10,1,11,0,1,,-7.0,win,0
chimera_k64maxcut-02.lp,10,0,12,1,1,12.7,12.7,tie,0.0
chimera_k64maxcut-01.lp,10,1,8,1,1,14.1,14.1,tie,0.0
chimera_k64ising-01.lp,10,1,8,1,1,12.3,12.3,tie,0.0
chimera_k64maxcut-01.lp,10,0,10,1,1,10.1,10.1,tie,0.0
chimera_rfr-02.lp,10,1,9,1,1,1123.9,1124.7,win,0.0007118071002757847
chimera_mis-02.lp,10,0,10,1,1,391.6,391.6,tie,0.0
chimera_mgw-c8-439-onc8-002.lp,10,0,8,1,1,392.0,392.0,tie,0.0
chimera_selby-c8-onc8-02.lp,10,0,12,1,1,166.9,166.9,tie,0.0
chimera_selby-c16-01.lp,10,1,11,1,1,709.5,709.5,tie,0.0
chimera_lga-02.lp,10,0,11,1,1,121.3,121.3,tie,0.0
chimera_lga-01.lp,10,0,9,1,1,129.7,129.7,tie,0.0
chimera_mgw-c8-507-onc8-02.lp,10,0,12,1,1,492.0,492.0,tie,0.0
chimera_mgw-c8-507-onc8-01.lp,10,0,8,1,1,493.0,493.0,tie,0.0
chimera_mgw-c8-507-onc8-02.lp,10,0,9,1,1,493.0,493.0,tie,0.0
ball_mk4_05.lp,10,0,11,0,1,,-19.0,win,0
